date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell
2025-07-29,3.9084,4.008,3.751,3.8128,wait,False,,,,,,,,3.875,,,,7
2025-07-30,3.8128,3.8559,3.62,3.758,wait,False,,,,,,,,3.875,,,,7
2025-07-31,3.7582,3.9609,3.5896,3.614,wait,False,,,,,,,,3.875,,,,7
2025-08-01,3.6138,3.6343,3.3543,3.4592,wait,False,,,,,,,,3.875,,,,7
2025-08-02,3.4591,3.5346,3.2663,3.3344,wait,False,,,,,,,,3.875,,,,7
2025-08-03,3.3344,3.4832,3.2803,3.4466,wait,False,,,,,,,,3.875,,,,7
2025-08-04,3.4465,3.6352,3.4082,3.5893,wait,False,,,,,,,,3.875,,,,7
2025-08-05,3.5892,3.6023,3.3432,3.411,wait,False,,,,,,,,3.875,,,,7
2025-08-06,3.4111,3.5292,3.3272,3.4986,wait,False,,,,,,,,3.875,,,,7
2025-08-07,3.4984,3.7947,3.443,3.7894,wait,False,,,,,,,,3.875,,,,7
2025-08-08,3.7894,3.8852,3.7131,3.8387,wait,False,,,,,,,,3.875,,,,7
2025-08-09,3.8387,3.9812,3.8265,3.8976,wait,False,,,,,,,,3.875,,,,7
2025-08-10,3.8977,4.0,3.7804,3.8754,wait,False,,,,,,,,3.875,,,,7
2025-08-11,3.8752,3.9779,3.6213,3.6535,wait,False,,,,,,,,3.875,,,,7
2025-08-12,3.6533,3.935,3.6,3.8837,wait,False,,,,,,,,3.875,,,,7
2025-08-13,3.883,4.0726,3.8152,4.0049,wait,False,,,,,,,,3.875,,,,7
2025-08-14,4.0047,4.1811,3.6514,3.7548,wait,False,,,,,,,,3.875,,,,7
2025-08-15,3.7548,3.8816,3.6184,3.711,wait,False,,,,,,,,3.875,,,,7
2025-08-16,3.7109,3.781,3.6677,3.7734,wait,False,,,,,,,,3.875,,,,7
2025-08-17,3.7735,3.8946,3.7103,3.7639,wait,False,,,,,,,,3.875,,,,7
2025-08-18,3.7639,3.776,3.5202,3.6027,wait,False,,,,,,,,3.875,,,,7
2025-08-19,3.6027,3.6766,3.4146,3.4222,wait,False,,,,,,,,3.875,,,,7
2025-08-20,3.422,3.5885,3.3798,3.5575,wait,False,,,,,,,,3.875,,,,7
2025-08-21,3.5577,3.5832,3.3844,3.4129,wait,False,,,,,,,,3.875,,,,7
2025-08-22,3.4126,3.7796,3.3047,3.7603,wait,False,,,,,,,,3.875,,,,7
2025-08-23,3.7602,3.805,3.6058,3.7367,wait,False,,,,,,,,3.875,,,,7
2025-08-24,3.7368,3.8498,3.6014,3.6806,wait,False,,,,,,,,3.875,,,,7
2025-08-25,3.6806,3.7378,3.3122,3.3404,wait,False,,,,,,,,3.875,,,,7
2025-08-26,3.3405,3.4912,3.3233,3.453,wait,False,,,,,,,,3.875,,,,7
2025-08-27,3.4531,3.5204,3.4112,3.437,wait,False,,,,,,,,3.875,,,,7
2025-08-28,3.4371,3.5294,3.4125,3.4914,wait,False,,,,,,,,3.875,,,,7
2025-08-29,3.4913,3.4994,3.2106,3.2822,wait,False,,,,,,,,3.875,,,,7
2025-08-30,3.2823,3.3445,3.2236,3.3065,wait,False,,,,,,,,3.875,,,,7
2025-08-31,3.3066,3.3505,3.2454,3.2494,wait,False,,,,,,,,3.875,,,,7
2025-09-01,3.2494,3.339,3.1101,3.2042,wait,False,,,,,,,,3.875,,,,7
2025-09-02,3.2043,3.3215,3.1908,3.3168,wait,False,,,,,,,,3.875,,,,7
2025-09-03,3.3169,3.4065,3.2671,3.3876,wait,False,,,,,,,,3.875,,,,7
2025-09-04,3.3876,3.4005,3.2329,3.2857,wait,False,,,,,,,,3.875,,,,7
2025-09-05,3.2854,3.4562,3.2742,3.3743,wait,False,,,,,,,,3.875,,,,7
2025-09-06,3.3743,3.408,3.3135,3.3356,wait,False,,,,,,,,3.875,,,,7
2025-09-07,3.3357,3.3833,3.3342,3.3732,wait,False,,,,,,,,3.875,,,,7
