date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-03-06,0.9899,0.993,0.9833,0.9879,none,0.94,,,,
2020-03-07,0.9891,0.9933,0.986,0.9933,none,0.94,,,,
2020-03-08,0.9937,0.998,0.9871,0.9938,none,0.94,,,,
2020-03-09,0.9939,0.9974,0.9856,0.994,none,0.94,,,,
2020-03-10,0.9956,0.997,0.9871,0.99,none,0.94,,,,
2020-03-11,0.988,0.9997,0.9662,0.9965,none,0.94,,,,
2020-03-12,0.9966,0.9966,0.9002,0.9919,none,0.9002,,,,
2020-03-13,0.9918,0.9918,0.9303,0.9722,none,0.9002,,,,
2020-03-14,0.9729,0.9866,0.9727,0.9865,none,0.9002,,,,
2020-03-15,0.9865,0.997,0.9865,0.992,none,0.9002,,,,
2020-03-16,0.9936,0.9979,0.9869,0.9928,none,0.9002,,,,
2020-03-17,0.9927,0.9979,0.9856,0.9923,none,0.9002,,,,
2020-03-18,0.9943,0.9975,0.9875,0.9937,none,0.9002,,,,
2020-03-19,0.9943,1.0009,0.9876,0.995,none,0.9002,,,,
2020-03-20,0.9955,0.9972,0.9766,0.9962,none,0.9002,,,,
2020-03-21,0.9964,0.999,0.9957,0.9957,none,0.9002,,,,
2020-03-22,0.9974,0.999,0.9901,0.9969,none,0.9002,,,,
2020-03-23,0.9973,0.9986,0.994,0.9973,none,0.9002,,,,
2020-03-24,0.9941,0.9986,0.9928,0.9928,none,0.9002,,,,
2020-03-25,0.9965,0.9986,0.9897,0.9946,none,0.9002,,,,
2020-03-26,0.9938,0.9969,0.9908,0.9908,none,0.9002,,,,
2020-03-27,0.9908,0.9959,0.988,0.9901,none,0.9002,,,,
2020-03-28,0.99,0.9944,0.9848,0.994,none,0.9002,,,,
2020-03-29,0.9941,0.9942,0.99,0.9905,none,0.9002,,,,
2020-03-30,0.994,0.994,0.9816,0.9922,none,0.9002,,,,
2020-03-31,0.9871,0.9949,0.9817,0.9912,none,0.9002,,,,
2020-04-01,0.9912,0.9913,0.9879,0.9912,none,0.9002,,,,
2020-04-02,0.9912,0.9945,0.9912,0.9943,none,0.9002,,,,
2020-04-03,0.9943,0.9947,0.994,0.9946,none,0.9002,,,,
2020-04-04,0.9946,1.0,0.991,0.9951,none,0.9002,,,,
2020-04-05,0.995,0.9972,0.9816,0.9816,none,0.9002,,,,
2020-04-06,0.9818,0.9954,0.97,0.9818,none,0.9002,,,,
2020-04-07,0.985,0.9954,0.985,0.9933,none,0.9002,,,,
2020-04-08,0.9933,0.997,0.993,0.9958,none,0.9002,,,,
2020-04-09,0.996,0.9979,0.9934,0.995,none,0.9002,,,,
2020-04-10,0.995,0.9959,0.9902,0.9949,none,0.9002,,,,
2020-04-11,0.9949,0.9959,0.994,0.9954,none,0.9002,,,,
2020-04-12,0.9954,0.9966,0.9916,0.9944,none,0.9002,,,,
