date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2025-02-11,387.0,437.4,385.7,412.6,1249.0,236.1,wait,7,,B5,437.15,528.99,True,,,,,,85.260483,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,385.7
2025-02-12,412.5,420.0,372.0,402.3,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,77.890724,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,372.0
2025-02-13,402.4,415.0,368.9,382.8,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,75.772978,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,368.9
2025-02-14,382.8,406.9,376.4,391.8,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,72.342228,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,376.4
2025-02-15,391.8,401.9,370.9,375.2,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,70.224481,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,370.9
2025-02-16,375.3,376.9,355.0,359.8,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,59.635748,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,355.0
2025-02-17,359.7,378.0,346.1,360.7,1249.0,236.1,wait,7,,B6,349.72,528.99,True,,,,,,60.101652,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,346.1
2025-02-18,360.7,387.6,347.5,375.5,1249.0,236.1,wait,7,,B6,349.72,528.99,True,,,,,,64.167726,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,347.5
2025-02-19,375.5,430.4,368.2,420.2,1249.0,236.1,wait,7,,B7,262.29,528.99,True,,,,,,82.295637,98.5,4,699.44,649.48,574.54,512.09,437.15,349.72,262.29,368.2
2025-02-20,420.2,469.8,417.3,465.9,1249.0,417.3,wait,5,BUY B5,B5,437.15,,True,LOW,B5,437.15,417.3,437.15,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,417.3
2025-02-20,420.2,469.8,417.3,465.9,1249.0,,high,,RESTART_+98.5pct,,,,False,HIGH,,,468.6585,,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,
2025-02-20,420.2,469.8,417.3,465.9,1249.0,417.3,wait,5,RESTART_+98.5pct,B5,437.15,,True,,,,,,12.580877,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,417.3
2025-02-21,465.9,495.3,427.0,444.8,1249.0,417.3,wait,5,,B5,437.15,,True,,,,,,18.691589,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,427.0
2025-02-22,444.7,463.3,423.2,432.4,1249.0,417.3,wait,5,,B5,437.15,,True,,,,,,11.023245,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,423.2
2025-02-23,432.4,442.8,414.5,433.9,1249.0,414.5,wait,5,,B5,437.15,,True,,,,,,6.827503,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,414.5
2025-02-24,433.9,449.0,395.6,397.0,1249.0,395.6,wait,5,,B5,437.15,,True,,,,,,13.498483,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,395.6
2025-02-25,397.1,408.0,353.4,379.8,1249.0,353.4,wait,5,,B7,262.29,,True,,,,,,15.449915,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,353.4
2025-02-26,379.8,388.7,338.4,351.6,1249.0,338.4,wait,6,ADD B6,B6,349.72,,True,LOW,B6,349.72,338.4,349.72,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,338.4
2025-02-26,379.8,388.7,338.4,351.6,1249.0,338.4,wait,6,,B6,349.72,,True,,,,,,14.864066,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,338.4
2025-02-27,351.5,370.3,322.7,330.2,1249.0,322.7,wait,6,,B6,349.72,,True,,,,,,14.750542,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,322.7
2025-02-28,330.2,334.8,296.4,326.4,1249.0,296.4,wait,6,,B7,262.29,,True,,,,,,12.955466,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,296.4
2025-03-01,326.5,340.1,315.8,337.7,1249.0,296.4,wait,6,,B7,262.29,,True,,,,,,14.74359,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,315.8
2025-03-02,337.8,360.5,320.6,353.4,1249.0,296.4,wait,6,,B6,349.72,,True,,,,,,21.626181,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,320.6
2025-03-03,353.4,355.9,292.7,295.5,1249.0,292.7,wait,6,,B6,349.72,,True,,,,,,21.592074,79.9,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,292.7
2025-03-04,295.5,299.2,257.6,287.5,1249.0,257.6,wait,7,ADD B7,B7,262.29,,True,LOW,B7,262.29,257.6,262.29,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,257.6
2025-03-04,295.5,299.2,257.6,287.5,1249.0,257.6,wait,7,,B7,262.29,,True,,,,,,16.149068,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,257.6
2025-03-05,287.5,312.8,285.1,300.0,1249.0,257.6,wait,7,,B7,262.29,,True,,,,,,21.428571,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,285.1
2025-03-06,300.0,312.1,281.1,288.0,1249.0,257.6,wait,7,,B7,262.29,,True,,,,,,21.156832,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,281.1
2025-03-07,288.0,294.2,271.6,275.4,1249.0,257.6,wait,7,,B7,262.29,,True,,,,,,14.208075,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,271.6
2025-03-08,275.5,284.5,265.5,276.3,1249.0,257.6,wait,7,,B7,262.29,,True,,,,,,10.442547,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,265.5
2025-03-09,276.3,278.4,238.2,243.7,1249.0,238.2,wait,7,,B7,262.29,,True,,,,,,16.876574,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,238.2
2025-03-10,243.8,257.4,212.5,225.3,1249.0,212.5,wait,7,,,,,True,,,,,,21.129412,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,212.5
2025-03-11,225.4,272.0,212.4,260.4,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,28.060264,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,212.4
2025-03-12,260.5,275.7,246.8,259.7,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,29.80226,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,246.8
2025-03-13,259.5,262.1,235.2,238.3,1249.0,212.4,wait,7,,,,,True,,,,,,23.399247,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,235.2
2025-03-14,238.4,262.2,237.4,256.2,1249.0,212.4,wait,7,,,,,True,,,,,,23.446328,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,237.4
2025-03-15,256.2,267.7,253.0,258.2,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,26.035782,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,253.0
2025-03-16,258.3,263.3,238.8,240.7,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,23.964218,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,238.8
2025-03-17,240.8,260.4,240.4,255.0,1249.0,212.4,wait,7,,,,,True,,,,,,22.59887,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,240.4
2025-03-18,255.1,255.8,235.9,246.9,1249.0,212.4,wait,7,,,,,True,,,,,,20.433145,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,235.9
2025-03-19,247.0,263.5,246.3,262.1,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,24.05838,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,246.3
2025-03-20,262.2,267.7,247.9,251.7,1249.0,212.4,wait,7,,B7,262.29,,True,,,,,,26.035782,98.5,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,247.9
